Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
47,5840,species,Black-fronted Dotterel,Thinornis melanops,3,Otaihanga Boardwalk,NZ-WGN,23 Dec 2025,L2900939,S289791791,,1
48,465,species,Blue Duck,Hymenolaimus malacorhynchos,4,Turangi--Red Hut Bridge river access,NZ-WKO,22 Dec 2025,L4610888,S289791818,,1
49,7559,species,Australasian Bittern,Botaurus poiciloptilus,1,Tokaanu Old Wharf Rd,NZ-WKO,22 Dec 2025,L847034,S289791822,,1
50,21730,species,Tomtit,Petroica macrocephala,4,Pureora Forest Park--Waipapa Loop Walk,NZ-WKO,22 Dec 2025,L3251618,S289791826,,1
51,12466,species,Yellow-crowned Parakeet,Cyanoramphus auriceps,5,Pureora Forest Park--Waipapa Loop Walk,NZ-WKO,22 Dec 2025,L3251618,S289791826,,1
52,3293,species,Pacific Long-tailed Cuckoo,Urodynamis taitensis,2,Pureora Forest Park--Waipapa Loop Walk,NZ-WKO,22 Dec 2025,L3251618,S289791826,,1
53,6862,species,New Zealand Grebe,Poliocephalus rufopectus,2,Karapiro--Horahora Domain/bridge,NZ-WKO,22 Dec 2025,L3626493,S289607323,,1
54,693,species,New Zealand Scaup,Aythya novaeseelandiae,5,Karapiro--Horahora Domain/bridge,NZ-WKO,22 Dec 2025,L3626493,S289607323,,1
55,12146,species,New Zealand Kaka,Nestor meridionalis,3,Tawharanui Regional Park--Mangatawhiri Track,NZ-AUK,21 Dec 2025,L4577809,S289482681,,1
56,25,species,North Island Brown Kiwi,Apteryx mantelli,7,Tawharanui Regional Park--Mangatawhiri Track,NZ-AUK,21 Dec 2025,L4577809,S289482681,,1
57,21696,species,North Island Kokako,Callaeas wilsoni,2,Tiritiri Matangi--general,NZ-AUK,21 Dec 2025,L1014714,S289532759,,1
58,17731,species,New Zealand Bellbird,Anthornis melanura,27,Tiritiri Matangi--general,NZ-AUK,21 Dec 2025,L1014714,S289532759,,1
59,13219,species,Rifleman,Acanthisitta chloris,8,Tiritiri Matangi--general,NZ-AUK,21 Dec 2025,L1014714,S289532759,,1
60,12456,species,Red-crowned Parakeet,Cyanoramphus novaezelandiae,9,Tiritiri Matangi--general,NZ-AUK,21 Dec 2025,L1014714,S289532759,,1
61,5606,species,Spotless Crake,Zapornia tabuensis,2,Tiritiri Matangi--general,NZ-AUK,21 Dec 2025,L1014714,S289532759,,1
62,7235,species,Fluttering Shearwater,Puffinus gavia,35,Gulf Harbour to Auckland Ferry,NZ-AUK,21 Dec 2025,L10517549,S289791845,,1
63,9345,species,Morepork,Ninox novaeseelandiae,5,Shakespear Regional Park (general),NZ-AUK,20 Dec 2025,L847068,S289400061,,1
64,23855,species,New Zealand Fernbird,Poodytes punctatus,2,Shakespear Regional Park--Waterfall Gully & Kanuka Track,NZ-AUK,20 Dec 2025,L12828061,S289400100,,1
65,21738,species,North Island Robin,Petroica longipes,3,Shakespear Regional Park--Waterfall Gully & Kanuka Track,NZ-AUK,20 Dec 2025,L12828061,S289400100,,1
66,21702,species,Stitchbird,Notiomystis cincta,6,Shakespear Regional Park--Waterfall Gully & Kanuka Track,NZ-AUK,20 Dec 2025,L12828061,S289400100,,1
67,21698,species,North Island Saddleback,Philesturnus rufusater,2,Shakespear Regional Park--Waterfall Gully & Kanuka Track,NZ-AUK,20 Dec 2025,L12828061,S289400100,,1
68,18951,species,Whitehead,Mohoua albicilla,5,Shakespear Regional Park--Waterfall Gully & Kanuka Track,NZ-AUK,20 Dec 2025,L12828061,S289400100,,1
69,27,species,Little Spotted Kiwi,Apteryx owenii,1,Shakespear Regional Park--Waterfall Gully & Kanuka Track,NZ-AUK,20 Dec 2025,L12828061,S289400100,,1
70,20397,species,New Zealand Fantail,Rhipidura fuliginosa,7,Ayrlies Wetland,NZ-AUK,20 Dec 2025,L4227577,S289236499,,1
71,18497,species,Grey Gerygone,Gerygone igata,3,Ayrlies Wetland,NZ-AUK,20 Dec 2025,L4227577,S289236499,,1
72,12492,species,Eastern Rosella,Platycercus eximius,5,Ayrlies Wetland,NZ-AUK,20 Dec 2025,L4227577,S289236499,N,1
73,651,species,Brown Teal,Anas chlorotis,21,Ayrlies Wetland,NZ-AUK,20 Dec 2025,L4227577,S289236499,,1
74,498,species,Australasian Shoveler,Spatula rhynchotis,3,Ayrlies Wetland,NZ-AUK,20 Dec 2025,L4227577,S289236499,,1
75,425,species,Paradise Shelduck,Tadorna variegata,17,Ayrlies Wetland,NZ-AUK,20 Dec 2025,L4227577,S289236499,,1
76,6768,species,White-fronted Tern,Sterna striata,4,Potts Lane end--shellbank & tidal area,NZ-AUK,20 Dec 2025,L3057858,S289237020,,1
77,5925,species,New Zealand Plover,Anarhynchus obscurus,2,Potts Lane end--shellbank & tidal area,NZ-AUK,20 Dec 2025,L3057858,S289237020,,1
78,5841,species,Shore Plover,Thinornis novaeseelandiae,1,Potts Lane end--shellbank & tidal area,NZ-AUK,20 Dec 2025,L3057858,S289237020,,1
79,5794,species,Variable Oystercatcher,Haematopus unicolor,8,Potts Lane end--shellbank & tidal area,NZ-AUK,20 Dec 2025,L3057858,S289237020,,1
80,5792,species,South Island Oystercatcher,Haematopus finschi,40,Potts Lane end--shellbank & tidal area,NZ-AUK,20 Dec 2025,L3057858,S289237020,,1
81,2845,species,New Zealand Pigeon,Hemiphaga novaeseelandiae,1,Potts Lane end--shellbank & tidal area,NZ-AUK,20 Dec 2025,L3057858,S289237020,,1
83,17727,species,Tui,Prosthemadera novaeseelandiae,1,Auckland Airport,NZ-AUK,20 Dec 2025,L1014643,S290478097,,1
84,17361,species,Cattle Tyrant,Machetornis rixosa,1,"Stakeout Cattle Tyrant, downtown Corpus Christi (2023-25)",US-TX,17 Dec 2025,L27932697,S289004685,P,1
86,12943,species,White-fronted Amazon,Amazona albifrons,45,"Oliveira Park, Brownsville",US-TX,16 Dec 2025,L1918641,S288900236,P,1
88,8449,species,White-tailed Hawk,Geranoaetus albicaudatus,4,Hidalgo Co.—Jara Chinas Road,US-TX,16 Dec 2025,L12703180,S288844812,,1
91,12906,species,Lilac-crowned Amazon,Amazona finschi,2,Amazon Roost 121525,US-TX,15 Dec 2025,L56013887,S288771872,P,1
92,12905,species,Red-crowned Amazon,Amazona viridigenalis,80,Amazon Roost 121525,US-TX,15 Dec 2025,L56013887,S288771872,N,1
93,13178,species,Green/Red-throated Parakeet,Psittacara holochlorus,260,McAllen--Parakeet roost (10th Str. N&S of Trenton rd.),US-TX,15 Dec 2025,L1210076,S288768982,N,1
94,34503,species,Crimson-collared Grosbeak,Periporphyrus celaeno,1,Edinburg Scenic Wetlands WBC (LTC 061),US-TX,15 Dec 2025,L249889,S288764401,,1
95,25460,species,短尾鸦雀,Suthora davidiana,10,径山镇,CN-33,14 Dec 2025,L55954470,S290971551,,1
96,4826,species,Rufous Hummingbird,Selasphorus rufus,1,Rocky Point State Pine Barrens Preserve,US-NY,12 Dec 2025,L14732395,S288284532,,1
97,32936,species,Cassin's Sparrow,Peucaea cassinii,1,Montauk Point,US-NY,12 Dec 2025,L5575886,S288265888,,1
98,18504,species,Grey-crowned Babbler,Pomatostomus temporalis,3,"Westbourne Dr, Wights Mountain",AU-QLD,10 Dec 2025,L12220975,S288124857,,1
99,239,species,Plumed Whistling Duck,Dendrocygna eytoni,9,"4 Winchester Av, Wights Mountain AU-QLD -27.38064, 152.85110",AU-QLD,10 Dec 2025,L55851646,S288124843,,1
100,21017,species,Apostlebird,Struthidea cinerea,1,"Days Road Recreational Trail (between Roxburgh Rd & Tea Tree Close), Wights Mountain/Samford",AU-QLD,10 Dec 2025,L25379240,S288124830,,1
101,20997,species,Restless Flycatcher,Myiagra inquieta,1,"Days Road Recreational Trail (between Roxburgh Rd & Tea Tree Close), Wights Mountain/Samford",AU-QLD,10 Dec 2025,L25379240,S288124830,,1
102,18178,species,Striped Honeyeater,Plectorhyncha lanceolata,4,"Days Road Recreational Trail (between Roxburgh Rd & Tea Tree Close), Wights Mountain/Samford",AU-QLD,10 Dec 2025,L25379240,S288124830,,1
103,2233,species,Peaceful Dove,Geopelia placida,1,"Days Road Recreational Trail (between Roxburgh Rd & Tea Tree Close), Wights Mountain/Samford",AU-QLD,10 Dec 2025,L25379240,S288124830,,1
104,2706,species,Rose-crowned Fruit Dove,Ptilinopus regina,2,Days Rd West Reserve (Wights Mountain),AU-QLD,10 Dec 2025,L7808899,S288124821,,1
105,18964,species,Varied Sittella,Daphoenositta chrysoptera,14,Samford Conservation Park--Mailman's Track,AU-QLD,10 Dec 2025,L1466688,S288124804,,1
106,10124,species,Forest Kingfisher,Todiramphus macleayii,4,Samford Conservation Park--Mailman's Track,AU-QLD,10 Dec 2025,L1466688,S288124804,,1
107,12080,species,Australian Hobby,Falco longipennis,2,Ferny Grove Carpark,AU-QLD,10 Dec 2025,L55851580,S288124791,,1
108,26775,species,斑背噪鹛,Ianthocincla lunulata,2,晒经乡,CN-62,06 Dec 2025,L46637140,S287757286,,1
109,35347,species,Grey-hooded Sierra Finch,Phrygilus gayi,2,Farellones--Humedal Sector Escalada La Leonera,CL-RM,03 Dec 2025,L14756283,S287216140,,1
110,32658,species,Black-chinned Siskin,Spinus barbatus,4,Farellones--Humedal Sector Escalada La Leonera,CL-RM,03 Dec 2025,L14756283,S287216140,,1
111,24068,species,Chilean Swallow,Tachycineta leucopyga,8,Farellones--Humedal Sector Escalada La Leonera,CL-RM,03 Dec 2025,L14756283,S287216140,,1
112,15072,species,Scale-throated Earthcreeper,Upucerthia dumetaria,1,Farellones--Humedal Sector Escalada La Leonera,CL-RM,03 Dec 2025,L14756283,S287216140,,1
113,14596,species,Rufous-banded Miner,Geositta rufipennis,1,Farellones--Humedal Sector Escalada La Leonera,CL-RM,03 Dec 2025,L14756283,S287216140,,1
114,14367,species,Moustached Turca,Pteroptochos megapodius,1,Farellones--Humedal Sector Escalada La Leonera,CL-RM,03 Dec 2025,L14756283,S287216140,,1
115,35354,species,Diuca Finch,Diuca diuca,1,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
116,33931,species,Yellow-winged Blackbird,Agelasticus thilius,4,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
117,33600,species,Long-tailed Meadowlark,Leistes loyca,1,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
118,28070,species,Chilean Mockingbird,Mimus thenca,1,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
119,16196,species,Many-colored Rush Tyrant,Tachuris rubrigastra,1,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
120,11970,species,Chimango Caracara,Daptrius chimango,2,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
121,7762,species,Cocoi Heron,Ardea cocoi,2,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
122,6863,species,Great Grebe,Podiceps major,1,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
123,5486,species,Red-gartered Coot,Fulica armillata,10,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
124,5483,species,Red-fronted Coot,Fulica rufifrons,2,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
125,2282,species,Picui Ground Dove,Columbina picui,3,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
126,395,species,Coscoroba Swan,Coscoroba coscoroba,6,SN Laguna Batuco,CL-RM,03 Dec 2025,L570658,S287259609,,1
127,33272,species,Henslow's Sparrow,Centronyx henslowii,3,Prairie Creek Banding Station (UFBO) - Circuit Nets,US-FL,30 Nov 2025,L40956400,S286780006,,1
128,32943,species,Grasshopper Sparrow,Ammodramus savannarum,1,Prairie Creek Banding Station (UFBO) - Circuit Nets,US-FL,30 Nov 2025,L40956400,S286780006,,1
129,21608,species,Australian Raven,Corvus coronoides,1,Commonwealth Park,AU-ACT,28 Nov 2025,L1179665,S292279611,,1
130,33221,species,LeConte's Sparrow,Ammospiza leconteii,1,Jocelyn Nungaray NWR-- Yellow Rail Prairie,US-TX,28 Nov 2025,L1896574,S286485180,,1
131,5626,species,Yellow Rail,Coturnicops noveboracensis,2,Jocelyn Nungaray NWR-- Yellow Rail Prairie,US-TX,28 Nov 2025,L1896574,S286485180,,1
132,5716,species,Whooping Crane,Grus americana,3,Goose Island SP--Big Tree/Lamar Beach rd area,US-TX,27 Nov 2025,L1096078,S286414063,,1
133,34097,species,Mangrove Warbler,Setophaga petechia,3,South Padre Is.--Queen Isabella causeway east end,US-TX,27 Nov 2025,L896549,S286342685,,1
134,9157,species,Mottled Owl,Strix virgata,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),US-TX,26 Nov 2025,L129086,S286345297,,1
136,33762,species,Audubon's Oriole,Icterus graduacauda,2,Salineño Wildlife Preserve (LTC 080),US-TX,26 Nov 2025,L129075,S286357300,,1
137,5106,species,Buff-bellied Hummingbird,Amazilia yucatanensis,1,Estero Llano Grande SP WBC (LTC 054),US-TX,26 Nov 2025,L259855,S286258108,,1
138,945,species,Plain Chachalaca,Ortalis vetula,18,Estero Llano Grande SP WBC (LTC 054),US-TX,26 Nov 2025,L259855,S286258108,,1
139,18141,species,Strong-billed Honeyeater,Melithreptus validirostris,6,Wellington Park--The Springs,AU-TAS,26 Nov 2025,L7324885,S288259432,,1
140,18099,species,Crescent Honeyeater,Phylidonyris pyrrhopterus,3,Wellington Park--The Springs,AU-TAS,26 Nov 2025,L7324885,S288259432,,1
141,9343,species,Tasmanian Boobook,Ninox leucopsis,1,Waterworks Reserve,AU-TAS,25 Nov 2025,L1206912,S288259408,,1
142,6949,species,Little Penguin,Eudyptula minor,3,Nutgrove Beach,AU-TAS,25 Nov 2025,L4476012,S288259394,,1
144,21770,species,Scarlet Robin,Petroica boodang,2,Ridgeway Park,AU-TAS,25 Nov 2025,L2692559,S288259320,,1
145,20995,species,Satin Flycatcher,Myiagra cyanoleuca,1,Ridgeway Park,AU-TAS,25 Nov 2025,L2692559,S288259320,,1
146,3345,species,Pallid Cuckoo,Heteroscenes pallidus,1,Ridgeway Park,AU-TAS,25 Nov 2025,L2692559,S288259320,,1
147,18369,species,Scrubtit,Acanthornis magna,3,Wellington Park--Fern Glade Track,AU-TAS,25 Nov 2025,L2548382,S288259288,,1
148,2207,species,Brush Bronzewing,Phaps elegans,1,Wellington Park--Fern Glade Track,AU-TAS,25 Nov 2025,L2548382,S288259288,,1
149,18398,species,Tasmanian Thornbill,Acanthiza ewingii,7,Pipeline Track--Neika to Ferntree,AU-TAS,25 Nov 2025,L7425573,S288259262,,1
150,12479,species,Green Rosella,Platycercus caledonicus,3,Pipeline Track--Neika to Ferntree,AU-TAS,25 Nov 2025,L7425573,S288259262,,1
151,19818,species,Grey Currawong,Strepera versicolor,5,"1962–2116 Bruny Island Main Rd, Great Bay AU-TAS -43.22430, 147.38015",AU-TAS,24 Nov 2025,L55409851,S288259084,,1
152,17915,species,White-fronted Chat,Epthianura albifrons,5,Cape Queen Elizabeth Track,AU-TAS,24 Nov 2025,L2224136,S288259068,,1
153,12438,species,Blue-winged Parrot,Neophema chrysostoma,50,Cape Queen Elizabeth Track,AU-TAS,24 Nov 2025,L2224136,S288259068,,1
154,789,species,Musk Duck,Biziura lobata,1,Cape Queen Elizabeth Track,AU-TAS,24 Nov 2025,L2224136,S288259068,,1
155,642,species,Chestnut Teal,Anas castanea,5,Cape Queen Elizabeth Track,AU-TAS,24 Nov 2025,L2224136,S288259068,,1
156,424,species,Australian Shelduck,Tadorna tadornoides,2,Cape Queen Elizabeth Track,AU-TAS,24 Nov 2025,L2224136,S288259068,,1
157,5837,species,Hooded Plover,Thinornis cucullatus,4,Two Tree Point,AU-TAS,24 Nov 2025,L2547860,S288259050,,1
158,8315,species,Swamp Harrier,Circus approximans,1,Captain Cook Holiday Park (restricted access),AU-TAS,24 Nov 2025,L13197553,S288259022,,1
159,18235,species,Striated Pardalote,Pardalotus striatus,4,Trumpeter Rd,AU-TAS,24 Nov 2025,L7168061,S288259012,,1
160,3315,species,霍氏金鹃,Chalcites basalis,1,Trumpeter Rd,AU-TAS,24 Nov 2025,L7168061,S288259012,,1
161,21831,species,Dusky Robin,Melanodryas vittata,1,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
162,21769,species,Flame Robin,Petroica phoenicea,1,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
163,19761,species,Dusky Woodswallow,Artamus cyanopterus,1,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
164,18231,species,Forty-spotted Pardalote,Pardalotus quadragintus,1,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
165,12445,species,Swift Parrot,Lathamus discolor,3,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
166,5450,species,Tasmanian Nativehen,Tribonyx mortierii,2,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
167,2206,species,Common Bronzewing,Phaps chalcoptera,1,"Missionary Rd at -43.141016, 147.355750",AU-TAS,24 Nov 2025,L4348325,S288259000,,1
168,21766,species,Pink Robin,Petroica rodinogaster,1,"370 Pirates Bay Dr, Eaglehawk Neck AU-TAS -43.00935, 147.92980",AU-TAS,23 Nov 2025,L55367102,S288258927,,1
169,12151,species,Yellow-tailed Black Cockatoo,Zanda funerea,2,"370 Pirates Bay Dr, Eaglehawk Neck AU-TAS -43.00935, 147.92980",AU-TAS,23 Nov 2025,L55367102,S288258927,,1
170,26746,species,白颈噪鹛,Garrulax strepitans,6,南贡山 (Nangong Mountain),CN-53,23 Nov 2025,L8296047,S286897952,,1
171,7128,species,Mottled Petrel,Pterodroma inexpectata,3,Eaglehawk Neck Pelagic Trip,AU-TAS,23 Nov 2025,L1163813,S290737391,,1
172,7025,species,White-faced Storm Petrel,Pelagodroma marina,3,Eaglehawk Neck Pelagic Trip,AU-TAS,23 Nov 2025,L1163813,S290737391,,1
173,19814,species,Black Currawong,Strepera fuliginosa,1,"Auto selected -43.03450, 147.94698",AU-TAS,22 Nov 2025,L55329054,S288258646,,1
174,18306,species,Tasmanian Scrubwren,Sericornis humilis,1,"Auto selected -43.03450, 147.94698",AU-TAS,22 Nov 2025,L55329054,S288258646,,1
175,18131,species,Black-headed Honeyeater,Melithreptus affinis,1,"Auto selected -43.03450, 147.94698",AU-TAS,22 Nov 2025,L55329054,S288258646,,1
176,18119,species,Yellow-throated Honeyeater,Nesoptilotis flavicollis,2,"Auto selected -43.03450, 147.94698",AU-TAS,22 Nov 2025,L55329054,S288258646,,1
177,17869,species,Yellow Wattlebird,Anthochaera paradoxa,2,"Auto selected -43.03450, 147.94698",AU-TAS,22 Nov 2025,L55329054,S288258646,,1
178,5796,species,Sooty Oystercatcher,Haematopus fuliginosus,3,"Auto selected -43.03450, 147.94698",AU-TAS,22 Nov 2025,L55329054,S288258646,,1
179,7417,species,Black-faced Cormorant,Phalacrocorax fuscescens,11,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
180,7335,species,Australasian Gannet,Morus serrator,8,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
181,7226,species,Hutton's Shearwater,Puffinus huttoni,1,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
182,7212,species,Buller's Shearwater,Ardenna bulleri,1,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
183,7147,species,Gould's Petrel,Pterodroma leucoptera,8,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
184,7145,species,Cook's Petrel,Pterodroma cookii,1,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
185,7106,species,Grey-faced Petrel,Pterodroma gouldi,3,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
186,6979,species,Antipodean Albatross,Diomedea antipodensis,1,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
187,6974,species,Southern Royal Albatross,Diomedea epomophora,9,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
188,6973,species,Northern Royal Albatross,Diomedea sanfordi,1,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
189,6506,species,Pacific Gull,Larus pacificus,5,Eaglehawk Neck Pelagic Trip,AU-TAS,22 Nov 2025,L1163813,S290737365,,1
190,21612,species,Forest Raven,Corvus tasmanicus,2,Eaglehawk Neck--Tesselated Pavement,AU-TAS,22 Nov 2025,L1479659,S288133596,,1
